title,promo_sum,link,time_since_posted 
Extra security for climate minister after threats, Canada's Catherine McKenna says she has been the target of increasing abuse and threats., https://www.bbc.com/news/world-us-canada-49627153, 6 hours ago
Storm Dorian cuts power to thousands in Canada, The diminished hurricane battered Nova Scotia with winds of 100mph; cutting power to 450;000 homes., https://www.bbc.com/news/world-us-canada-49624138, 3 hours ago
Trump faces third challenger in Republican race, Mark Sanford; a former South Carolina governor and fiscal hawk; says the party has lost its way., https://www.bbc.com/news/world-us-canada-49628134, 2 hours ago
Andreescu stuns Williams to win US Open, Teenager Bianca Andreescu stuns Serena Williams in a gripping US Open final to claim a first Grand Slam title and deny the American a 24th major., https://www.bbc.com/sport/tennis/49623914, 20 hours ago
MIT Media Lab head resigns over Epstein donations, Joichi Ito's move comes after claims that MIT tried to conceal gifts from the disgraced financier., https://www.bbc.com/news/world-us-canada-49623084, 19 hours ago
Joker and Roman Polanski win at Venice festival, The inclusion of Polanski's film was controversial due to the director's rape conviction., https://www.bbc.com/news/entertainment-arts-49623532, 21 hours ago
Extra security for climate minister after threats, Canada's Catherine McKenna says she has been the target of increasing abuse and threats., https://www.bbc.com/news/world-us-canada-49627153, 6 hours ago
Storm Dorian cuts power to thousands in Canada, The diminished hurricane battered Nova Scotia with winds of 100mph; cutting power to 450;000 homes., https://www.bbc.com/news/world-us-canada-49624138, 3 hours ago
Trump faces third challenger in Republican race, Mark Sanford; a former South Carolina governor and fiscal hawk; says the party has lost its way., https://www.bbc.com/news/world-us-canada-49628134, 2 hours ago
Trump probed over military spending in Scotland, Null, https://www.bbc.com/news/world-us-canada-49621836, Null
Formula Two driver Correa 'critical', Null, https://www.bbc.com/sport/motorsport/49619035, Null
Hollywood star's 'battle' to learn UK accent, Null, https://www.bbc.com/news/entertainment-arts-49623622, Null
Susan Sarandon voices support for assisted dying, Null, https://www.bbc.com/news/entertainment-arts-49550579, Null
Hot car death dad says new safety rules not enough, Null, https://www.bbc.com/news/world-us-canada-49600499, Null
The Band documentary opens Toronto Film Festival, Null, https://www.bbc.com/news/entertainment-arts-49550581, Null
Kennedy grandson eyes Massachusetts Senate seat, Null, https://www.bbc.com/news/world-us-canada-49475788, Null
Second Republican challenges Trump in 2020 race, Null, https://www.bbc.com/news/world-us-canada-49471133, Null
Elizabeth Warren meets her doppelganger, Null, https://www.bbc.com/news/world-us-canada-49426864, Null
CCTV footage shows 'baby smuggler' at airport, Null, https://www.bbc.com/news/world-asia-49602687, Null
How Drake saved a British TV show, Null, https://www.bbc.com/news/entertainment-arts-49596810, Null
'How American football helped me fight racism in US', Null, https://www.bbc.com/news/world-africa-49611809, Null
